Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q36,"A development team needs to host a website that will be accessed by other teams. The website contents consist of HTML, CSS, client-side JavaScript, and images. Which method is the MOST cost-effective for hosting the website? the Express.js framework.",Containerize the website and host it in AWS Fargate.,Create an Amazon S3 bucket and host the website there.,Deploy a web server on an Amazon EC2 instance to host the website.,Configure an Application Load Balancer with an AWS Lambda target that uses,,,B,"=IF(H37=I37,1,0)",Design Cost-Optimized Architectures
Q37,A company collects data from a large number of participants who use wearable devices. The company stores the data in an Amazon DynamoDB table and uses applications to analyze the data. The data workload is constant and predictable. The company wants to stay at or below its forecasted budget for DynamoDB. Which solution will meet these requirements MOST cost-effectively? (DynamoDB Standard-IA). Reserve capacity for the forecasted workload. capacity units (WCUs). units (WCUs) high enough to accommodate changes in the workload. capacity units (WCUs) with reserved capacity.,Use provisioned mode and DynamoDB Standard-Infrequent Access,Use provisioned mode. Specify the read capacity units (RCUs) and write,Use on-demand mode. Set the read capacity units (RCUs) and write capacity,Use on-demand mode. Specify the read capacity units (RCUs) and write,,,B,"=IF(H38=I38,1,0)",Design Cost-Optimized Architectures
Q38,"A company has thousands of edge devices that collectively generate 1 TB of status alerts each day. Each alert is approximately 2 KB in size. A solutions architect needs to implement a solution to ingest and store the alerts for future analysis. The company wants a highly available solution. However, the company needs to minimize costs and does not want to manage additional infrastructure. Additionally, the company wants to keep 14 days of data available for immediate analysis and archive any data older than 14 days. What is the MOST operationally efficient solution that meets these requirements? Configure the Kinesis Data Firehose stream to deliver the alerts to an Amazon S3 bucket. Set up an S3 Lifecycle configuration to transition data to Amazon S3 Glacier after 14 days. 25 Global IT Certification Hub behind an Elastic Load Balancer to ingest the alerts. Create a script on the EC2 instances that will store the alerts in an Amazon S3 bucket. Set up an S3 Lifecycle configuration to transition data to Amazon S3 Glacier after 14 days. Configure the Kinesis Data Firehose stream to deliver the alerts to an Amazon OpenSearch Service (Amazon Elasticsearch Service) cluster. Set up the Amazon OpenSearch Service (Amazon Elasticsearch Service) cluster to take manual snapshots every day and delete data from the cluster that is older than 14 days. ingest the alerts, and set the message retention period to 14 days. Configure consumers to poll the SQS queue, check the age of the message, and analyze the message data as needed. If the message is 14 days old, the consumer should copy the message to an Amazon S3 bucket and delete the message from the SQS queue.",Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts.,Launch Amazon EC2 instances across two Availability Zones and place them,Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts.,Create an Amazon Simple Queue Service (Amazon SQS) standard queue to,,,A,"=IF(H39=I39,1,0)",Design Cost-Optimized Architectures
Q39,A company is building a new dynamic ordering website. The company wants to minimize server maintenance and patching. The website must be highly available and must scale read and write capacity as quickly as possible to meet changes in user demand. 111 Global IT Certification Hub Which solution will meet these requirements? Gateway and AWS Lambda. Use Amazon DynamoDB with on-demand capacity for the database. Configure Amazon CloudFront to deliver the website content. Gateway and AWS Lambda. Use Amazon Aurora with Aurora Auto Scaling for the database. Configure Amazon CloudFront to deliver the website content. group to scale the EC2 instances. Use an Application Load Balancer to distribute traffic. Use Amazon DynamoDB with provisioned write capacity for the database. group to scale the EC2 instances. Use an Application Load Balancer to distribute traffic. Use Amazon Aurora with Aurora Auto Scaling for the database.,Host static content in Amazon S3. Host dynamic content by using Amazon API,Host static content in Amazon S3. Host dynamic content by using Amazon API,Host all the website content on Amazon EC2 instances. Create an Auto Scaling,Host all the website content on Amazon EC2 instances. Create an Auto Scaling,,,A,"=IF(H40=I40,1,0)",Design High-Performing Architectures
Q40,A company is deploying a new application on Amazon EC2 instances. The application writes data to Amazon Elastic Block Store (Amazon EBS) volumes. The company needs to ensure that all data that is written to the EBS volumes is encrypted at rest. Which solution will meet this requirement? instances. EC2 instances. all instances that require encryption at the EBS level. EBS encryption in the account. Ensure that the key policy is active. 255 Global IT Certification Hub,Create an IAM role that specifies EBS encryption. Attach the role to the EC2,Create the EBS volumes as encrypted volumes. Attach the EBS volumes to the,Create an EC2 instance tag that has a key of Encrypt and a value of True. Tag,Create an AWS Key Management Service (AWS KMS) key policy that enforces,,,B,"=IF(H41=I41,1,0)",Design Secure Architectures
Q41,A company hosts a website on Amazon EC2 instances behind an Application Load Balancer (ALB). The website serves static content. Website traffic is increasing. The company wants to minimize the website hosting costs. Which solution will meet these requirements? distribution for the S3 bucket. 558 Global IT Certification Hub cluster for the S3 bucket. website. website.,Move the website to an Amazon S3 bucket. Configure an Amazon CloudFront,Move the website to an Amazon S3 bucket. Configure an Amazon ElastiCache,Move the website to AWS Amplify. Configure an ALB to resolve to the Amplify,Move the website to AWS Amplify. Configure EC2 instances to cache the,,,A,"=IF(H42=I42,1,0)",Design Cost-Optimized Architectures
Q42,"A company's near-real-time streaming application is running on AWS. As the data is ingested, a job runs on the data and takes 30 minutes to complete. The workload frequently experiences high latency due to large amounts of incoming data. A solutions architect needs to design a scalable and serverless solution to enhance performance. Which combination of steps should the solutions architect take? (Choose two.) process the data.",Use Amazon Kinesis Data Firehose to ingest the data.,Use AWS Lambda with AWS Step Functions to process the data.,Use AWS Database Migration Service (AWS DMS) to ingest the data.,Use Amazon EC2 instances in an Auto Scaling group to process the data.,Use AWS Fargate with Amazon Elastic Container Service (Amazon ECS) to,,AE,"=IF(H43=I43,1,0)",Design High-Performing Architectures
Q43,A research laboratory needs to process approximately 8 TB of data. The laboratory requires sub-millisecond latencies and a minimum throughput of 6 GBps for the storage subsystem. Hundreds of Amazon EC2 instances that run Amazon Linux will distribute and process the data. Which solution will meet the performance requirements? policy to ALL. Import the raw data into the file system. Mount the fila system on the EC2 instances. Lustre file system that uses persistent SSD storage. Select the option to import data from and export data to Amazon S3. Mount the file system on the EC2 instances. Lustre file system that uses persistent HDD storage. Select the option to import data from and export data to Amazon S3. Mount the file system on the EC2 instances. 185 Global IT Certification Hub tiering policy to NONE. Import the raw data into the file system. Mount the file system on the EC2 instances.,Create an Amazon FSx for NetApp ONTAP file system. Sat each volume' tiering,Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for,Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for,Create an Amazon FSx for NetApp ONTAP file system. Set each volume's,,,B,"=IF(H44=I44,1,0)",Design High-Performing Architectures
Q44,A company is designing its production application's disaster recovery (DR) strategy. The application is backed by a MySQL database on an Amazon Aurora cluster in the us-east-1 Region. The company has chosen the us-west-1 Region as 559 Global IT Certification Hub its DR Region. The company's target recovery point objective (RPO) is 5 minutes and the target recovery time objective (RTO) is 20 minutes. The company wants to minimize configuration changes. Which solution will meet these requirements with the MOST operational efficiency? application's Aurora MySQL cluster writer instance. failover. Service (AWS DMS) to sync both clusters.,Create an Aurora read replica in us-west-1 similar in size to the production,Convert the Aurora cluster to an Aurora global database. Configure managed,Create a new Aurora cluster in us-west-1 that has Cross-Region Replication.,Create a new Aurora cluster in us-west-1. Use AWS Database Migration,,,B,"=IF(H45=I45,1,0)",Design Resilient Architectures
Q45,A company currently runs an on-premises stock trading application by using Microsoft Windows Server. The company wants to migrate the application to the AWS Cloud. The company needs to design a highly available solution that provides low-latency access to block storage across multiple Availability Zones. Which solution will meet these requirements with the LEAST implementation effort? Amazon EC2 instances. Install the application on both cluster nodes. Use Amazon FSx for Windows File Server as shared storage between the two cluster nodes. Amazon EC2 instances. Install the application on both cluster nodes. Use Amazon Elastic Block Store (Amazon EBS) General Purpose SSD (gp3) volumes as storage attached to the EC2 instances. Set up application-level replication to sync data from one EBS volume in one Availability Zone to another EBS volume in the second Availability Zone. Configure one EC2 instance as active and the second EC2 instance in standby mode. Use an Amazon FSx for NetApp ONTAP Multi-AZ file system to access the data by using Internet Small Computer Systems Interface (iSCSI) protocol. Configure one EC2 instance as active and the second EC2 instance in standby mode. Use Amazon Elastic Block Store (Amazon EBS) Provisioned IOPS SSD (io2) volumes as storage attached to the EC2 instances. Set up Amazon EBS level replication to sync data from one io2 volume in one Availability Zone to another io2 volume in the second Availability Zone.,Configure a Windows Server cluster that spans two Availability Zones on,Configure a Windows Server cluster that spans two Availability Zones on,Deploy the application on Amazon EC2 instances in two Availability Zones.,Deploy the application on Amazon EC2 instances in two Availability Zones.,,,C,"=IF(H46=I46,1,0)",Design Resilient Architectures
Q46,An entertainment company is using Amazon DynamoDB to store media metadata. The application is read intensive and experiencing delays. The company does not have staff to handle additional operational overhead and needs to improve the performance efficiency of DynamoDB without reconfiguring the application. What should a solutions architect recommend to meet this requirement?,Use Amazon ElastiCache for Redis.,Use Amazon DynamoDB Accelerator (DAX).,Replicate data by using DynamoDB global tables.,Use Amazon ElastiCache for Memcached with Auto Discovery enabled.,,,B,"=IF(H47=I47,1,0)",Design High-Performing Architectures
Q47,"A solutions architect must migrate a Windows Internet Information Services (IIS) web application to AWS. The application currently relies on a file share hosted in the user's on-premises network-attached storage (NAS). The solutions architect has proposed migrating the IIS web servers to Amazon EC2 instances in multiple Availability Zones that are connected to the storage solution, and configuring an Elastic Load Balancer attached to the instances. Which replacement to the on-premises file share is MOST resilient and durable?",Migrate the file share to Amazon RDS.,Migrate the file share to AWS Storage Gateway.,Migrate the file share to Amazon FSx for Windows File Server.,Migrate the file share to Amazon Elastic File System (Amazon EFS).,,,C,"=IF(H48=I48,1,0)",Design Resilient Architectures
Q48,A company has primary and secondary data centers that are 500 miles (804.7 km) apart and interconnected with high-speed fiber-optic cable. The company needs a highly available and secure network connection between its data centers 535 Global IT Certification Hub and a VPC on AWS for a mission-critical workload. A solutions architect must choose a connection solution that provides maximum resiliency. Which solution meets these requirements? at two Direct Connect locations on two separate devices secondary data centers terminating at one Direct Connect location on the same device data centers terminating at two Direct Connect locations on two separate devices secondary data centers terminating at one Direct Connect location on two separate devices,Two AWS Direct Connect connections from the primary data center terminating,A single AWS Direct Connect connection from each of the primary and,Two AWS Direct Connect connections from each of the primary and secondary,A single AWS Direct Connect connection from each of the primary and,,,C,"=IF(H49=I49,1,0)",Design Secure Architectures
Q49,A company recently migrated a message processing system to AWS. The system receives messages into an ActiveMQ queue running on an Amazon EC2 instance. Messages are processed by a consumer application running on Amazon EC2. The consumer application processes the messages and writes results to a MySQL database running on Amazon EC2. The company wants this application to be highly available with low operational complexity. Which architecture offers the HIGHEST availability? consumer EC2 instance in another Availability Zone. Replicate the MySQL database to another Availability Zone. Zones. Add an additional consumer EC2 instance in another Availability Zone. Replicate the MySQL database to another Availability Zone. Zones. Add an additional consumer EC2 instance in another Availability Zone. Use Amazon RDS for MySQL with Multi-AZ enabled. Zones. Add an Auto Scaling group for the consumer EC2 instances across two Availability Zones. Use Amazon RDS for MySQL with Multi-AZ enabled.,Add a second ActiveMQ server to another Availability Zone. Add an additional,Use Amazon MQ with active/standby brokers configured across two Availability,Use Amazon MQ with active/standby brokers configured across two Availability,Use Amazon MQ with active/standby brokers configured across two Availability,,,D,"=IF(H50=I50,1,0)",Design Resilient Architectures
Q50,A solutions architect is designing a payment processing application that runs on AWS Lambda in private subnets across multiple Availability Zones. The application uses multiple Lambda functions and processes millions of transactions each day. The architecture must ensure that the application does not process duplicate payments. Which solution will meet these requirements? Amazon S3 bucket. Configure the S3 bucket with an event notification to invoke another Lambda function to process the due payments. Amazon Simple Queue Service (Amazon SQS) queue. Configure another Lambda function to poll the SQS queue and to process the due payments. Amazon Simple Queue Service (Amazon SQS) FIFO queue. Configure another Lambda function to poll the FIFO queue and to process the due payments. Amazon DynamoDB table. Configure streams on the DynamoDB table to invoke another Lambda function to process the due payments.,Use Lambda to retrieve all due payments. Publish the due payments to an,Use Lambda to retrieve all due payments. Publish the due payments to an,Use Lambda to retrieve all due payments. Publish the due payments to an,Use Lambda to retrieve all due payments. Store the due payments in an,,,C,"=IF(H51=I51,1,0)",Design Resilient Architectures
Q51,A financial company hosts a web application on AWS. The application uses an Amazon API Gateway Regional API endpoint to give users the ability to retrieve current stock prices. The company's security team has noticed an increase in the number of API requests. The security team is concerned that HTTP flood attacks might take the application offline. 248 Global IT Certification Hub A solutions architect must design a solution to protect the application from this type of attack. Which solution meets these requirements with the LEAST operational overhead? API endpoint with a maximum TTL of 24 hours. web ACL with the API Gateway stage. security team when the predefined rate is reached. API Gateway Regional API endpoint. Create an AWS Lambda function to block requests from IP addresses that exceed the predefined rate.,Create an Amazon CloudFront distribution in front of the API Gateway Regional,Create a Regional AWS WAF web ACL with a rate-based rule. Associate the,Use Amazon CloudWatch metrics to monitor the Count metric and alert the,Create an Amazon CloudFront distribution with Lambda@Edge in front of the,,,B,"=IF(H52=I52,1,0)",Design Secure Architectures
Q52,A company hosts a multi-tier web application on Amazon Linux Amazon EC2 instances behind an Application Load Balancer. The instances run in an Auto Scaling group across multiple Availability Zones. The company observes that the Auto Scaling group launches more On-Demand Instances when the application's end users access high volumes of static web content. The company wants to optimize cost. What should a solutions architect do to redesign the application MOST cost-effectively? On-Demand Instances. On-Demand Instances. an Amazon S3 bucket. 276 Global IT Certification Hub the static website contents.,Update the Auto Scaling group to use Reserved Instances instead of,Update the Auto Scaling group to scale by launching Spot Instances instead of,Create an Amazon CloudFront distribution to host the static web contents from,Create an AWS Lambda function behind an Amazon API Gateway API to host,,,C,"=IF(H53=I53,1,0)",Design Resilient Architectures
Q53,A company has a static website that is hosted on Amazon CloudFront in front of Amazon S3. The static website uses a database backend. The company notices that the website does not reflect updates that have been made in the website's Git repository. The company checks the continuous integration and continuous delivery (CI/CD) pipeline between the Git repository and Amazon S3. The company verifies that the webhooks are configured properly and that the CI/CD pipeline is sending messages that indicate successful deployments. A solutions architect needs to implement a solution that displays the updates on the website. Which solution will meet these requirements? web application.,Add an Application Load Balancer.,Add Amazon ElastiCache for Redis or Memcached to the database layer of the,Invalidate the CloudFront cache.,Use AWS Certificate Manager (ACM) to validate the website's SSL certificate.,,,C,"=IF(H54=I54,1,0)",Design High-Performing Architectures
Q54,"A company uses high block storage capacity to runs its workloads on premises. The company's daily peak input and output transactions per second are not more than 15,000 IOPS. The company wants to migrate the workloads to Amazon EC2 and to provision disk performance independent of storage capacity. Which Amazon Elastic Block Store (Amazon EBS) volume type will meet these 265 Global IT Certification Hub requirements MOST cost-effectively? qnH",GP2 volume type,io2 volume type,GP3 volume type,io1 volume type,,,C,"=IF(H55=I55,1,0)",Design High-Performing Architectures
Q55,"A company has a popular gaming platform running on AWS. The application is sensitive to latency because latency can impact the user experience and introduce unfair advantages to some players. The application is deployed in every AWS Region. It runs on Amazon EC2 instances that are part of Auto Scaling groups configured behind Application Load Balancers (ALBs). A solutions architect needs to implement a mechanism to monitor the health of the application and redirect traffic to healthy endpoints. Which solution meets these requirements? that the application listens on, and attach it to a Regional endpoint in each Region. Add the ALB as the endpoint. server. Configure the cache behavior to use origin cache headers. Use AWS Lambda functions to optimize the traffic. server. Configure the cache behavior to use origin cache headers. Use AWS Lambda functions to optimize the traffic. application. Create a DynamoDB Accelerator (DAX) cluster to act as the in-memory cache for DynamoDB hosting the application data.",Configure an accelerator in AWS Global Accelerator. Add a listener for the port,Create an Amazon CloudFront distribution and specify the ALB as the origin,Create an Amazon CloudFront distribution and specify Amazon S3 as the origin,Configure an Amazon DynamoDB database to serve as the data store for the,,,A,"=IF(H56=I56,1,0)",Design High-Performing Architectures
Q56,"A company hosts a multi-tier web application that uses an Amazon Aurora MySQL DB cluster for storage. The application tier is hosted on Amazon EC2 instances. The company's IT security guidelines mandate that the database credentials be encrypted and rotated every 14 days. 208 Global IT Certification Hub What should a solutions architect do to meet this requirement with the LEAST operational effort? AWS Secrets Manager to create a new secret that uses the KMS key with the appropriate credentials. Associate the secret with the Aurora DB cluster. Configure a custom rotation period of 14 days. user name as a string parameter and one that uses the SecureString type for the password. Select AWS Key Management Service (AWS KMS) encryption for the password parameter, and load these parameters in the application tier. Implement an AWS Lambda function that rotates the password every 14 days. (AWS KMS) encrypted Amazon Elastic File System (Amazon EFS) file system. Mount the EFS file system in all EC2 instances of the application tier. Restrict the access to the file on the file system so that the application can read the file and that only super users can modify the file. Implement an AWS Lambda function that rotates the key in Aurora every 14 days and writes new credentials into the file. (AWS KMS) encrypted Amazon S3 bucket that the application uses to load the credentials. Download the file to the application regularly to ensure that the correct credentials are used. Implement an AWS Lambda function that rotates the Aurora credentials every 14 days and uploads these credentials to the file in the S3 bucket.",Create a new AWS Key Management Service (AWS KMS) encryption key. Use,Create two parameters in AWS Systems Manager Parameter Store: one for the,Store a file that contains the credentials in an AWS Key Management Service,Store a file that contains the credentials in an AWS Key Management Service,,,A,"=IF(H57=I57,1,0)",Design Secure Architectures
Q57,"A solutions architect is designing an application that will allow business users to upload objects to Amazon S3. The solution needs to maximize object durability. Objects also must be readily available at any time and for any length of time. Users will access objects frequently within the first 30 days after the objects are uploaded, but users are much less likely to access objects that are older than 30 days. Which solution meets these requirements MOST cost-effectively? objects to S3 Glacier after 30 days. objects to S3 Standard-Infrequent Access (S3 Standard-IA) after 30 days. objects to S3 One Zone-Infrequent Access (S3 One Zone-IA) after 30 days. transition the objects to S3 Standard-Infrequent Access (S3 Standard-IA) after 30 days.",Store all the objects in S3 Standard with an S3 Lifecycle rule to transition the,Store all the objects in S3 Standard with an S3 Lifecycle rule to transition the,Store all the objects in S3 Standard with an S3 Lifecycle rule to transition the,Store all the objects in S3 Intelligent-Tiering with an S3 Lifecycle rule to,,,B,"=IF(H58=I58,1,0)",Design Cost-Optimized Architectures
Q58,"A company is developing an ecommerce application that will consist of a load-balanced front end, a container-based application, and a relational database. A solutions architect needs to create a highly available solution that operates with as little manual intervention as possible. Which solutions meet these requirements? (Choose two.) Availability Zone. application load. Fargate launch type to handle the dynamic application load. Amazon EC2 launch type to handle the dynamic application load.",Create an Amazon RDS DB instance in Multi-AZ mode.,Create an Amazon RDS DB instance and one or more replicas in another,Create an Amazon EC2 instance-based Docker cluster to handle the dynamic,Create an Amazon Elastic Container Service (Amazon ECS) cluster with a,Create an Amazon Elastic Container Service (Amazon ECS) cluster with an,,AD,"=IF(H59=I59,1,0)",Design Resilient Architectures
Q59,A solutions architect is designing an asynchronous application to process credit card data validation requests for a bank. The application must be secure and be able to process each request at least once. Which solution will meet these requirements MOST cost-effectively? (Amazon SQS) standard queues as the event source. Use AWS Key Management Service (SSE-KMS) for encryption. Add the kms:Decrypt permission for the Lambda execution role. (Amazon SQS) FIFO queues as the event source. Use SQS managed encryption keys (SSE-SQS) for encryption. Add the encryption key invocation permission for the Lambda function. Service (Amazon SQS) FIFO queues as the event source. Use AWS KMS keys (SSE-KMS). Add the kms:Decrypt permission for the Lambda execution role. 308 Global IT Certification Hub Service (Amazon SQS) standard queues as the event source. Use AWS KMS keys (SSE-KMS) for encryption. Add the encryption key invocation permission for the Lambda function.,Use AWS Lambda event source mapping. Set Amazon Simple Queue Service,Use AWS Lambda event source mapping. Use Amazon Simple Queue Service,Use the AWS Lambda event source mapping. Set Amazon Simple Queue,Use the AWS Lambda event source mapping. Set Amazon Simple Queue,,,A,"=IF(H60=I60,1,0)",Design Secure Architectures
Q60,A company has an on-premises application that generates a large amount of time-sensitive data that is backed up to Amazon S3. The application has grown and there are user complaints about internet bandwidth limitations. A solutions architect needs to design a long-term solution that allows for both timely backups to Amazon 27 Global IT Certification Hub S3 and with minimal impact on internet connectivity for internal users. Which solution meets these requirements? endpoint. through this new connection. and return the devices to AWS each day. removal of S3 service limits from the account.,Establish AWS VPN connections and proxy all traffic through a VPC gateway,Establish a new AWS Direct Connect connection and direct backup traffic,Order daily AWS Snowball devices. Load the data onto the Snowball devices,Submit a support ticket through the AWS Management Console. Request the,,,B,"=IF(H61=I61,1,0)",Design Resilient Architectures
Q61,"A solutions architect is creating a new Amazon CloudFront distribution for an application. Some of the information submitted by users is sensitive. The application uses HTTPS but needs another layer of security. The sensitive information should.be protected throughout the entire application stack, and access to the information should be restricted to certain applications. Which action should the solutions architect take? for the Viewer Protocol Policy.",Configure a CloudFront signed URL.,Configure a CloudFront signed cookie.,Configure a CloudFront field-level encryption profile.,Configure CloudFront and set the Origin Protocol Policy setting to HTTPS Only,,,C,"=IF(H62=I62,1,0)",Design Secure Architectures
Q62,A company has deployed a multi-account strategy on AWS by using AWS Control Tower. The company has provided individual AWS accounts to each of its developers. The company wants to implement controls to limit AWS resource costs that the developers incur. Which solution will meet these requirements with the LEAST operational overhead? CostCenter and a value of the developer's name. Use the required-tags AWS Config managed rule to check for the tag. Create an AWS Lambda function to terminate resources that do not have the tag. Configure AWS Cost Explorer to send a daily report to each developer to monitor their spending. budget alerts for actual and forecast values to notify developers when they exceed or expect to exceed their assigned budget. Use AWS Budgets actions to apply a 551 Global IT Certification Hub DenyAll policy to the developer's IAM role to prevent additional resources from being launched when the assigned budget is reached. account. Configure Cost Explorer to send a daily report to each developer to monitor their spending. Use AWS Cost Anomaly Detection to detect anomalous spending and provide alerts. limited cost range. Create AWS Lambda functions in each AWS account to stop running resources at the end of each work day. Configure the Lambda functions to resume the resources at the start of each work day.,Instruct each developer to tag all their resources with a tag that has a key of,Use AWS Budgets to establish budgets for each developer account. Set up,Use AWS Cost Explorer to monitor and report on costs for each developer,Use AWS Service Catalog to allow developers to launch resources within a,,,B,"=IF(H63=I63,1,0)",Design Secure Architectures
Q63,"A company uses AWS Cost Explorer to monitor its AWS costs. The company notices that Amazon Elastic Block Store (Amazon EBS) storage and snapshot costs increase every month. However, the company does not purchase additional EBS storage every month. The company wants to optimize monthly costs for its current storage usage. Which solution will meet these requirements with the LEAST operational overhead? Amazon EBS. Use Amazon EBS Elastic Volumes to reduce the size of the EBS volumes. to reduce the size of the EBS volumes. create and manage the snapshots according to the company's snapshot policy requirements.",Use logs in Amazon CloudWatch Logs to monitor the storage utilization of,Use a custom script to monitor space usage. Use Amazon EBS Elastic Volumes,Delete all expired and unused snapshots to reduce snapshot costs.,Delete all nonessential snapshots. Use Amazon Data Lifecycle Manager to,,,D,"=IF(H64=I64,1,0)",Design Cost-Optimized Architectures
Q64,A company wants to run its experimental workloads in the AWS Cloud. The company has a budget for cloud spending. The company's CFO is concerned about cloud spending accountability for each department. The CFO wants to receive notification when the spending threshold reaches 60% of the budget. Which solution will meet these requirements? budgets in AWS Budgets. Add an alert threshold to receive notification when spending exceeds 60% of the budget. Cost Anomaly Detection to create alert threshold notifications when spending exceeds 60% of the budget. API on AWS Trusted Advisor to create alert threshold notifications when spending 486 Global IT Certification Hub exceeds 60% of the budget. budgets in AWS Budgets. Add an alert threshold to receive notification when spending exceeds 60% of the budget.,Use cost allocation tags on AWS resources to label owners. Create usage,Use AWS Cost Explorer forecasts to determine resource owners. Use AWS,Use cost allocation tags on AWS resources to label owners. Use AWS Support,Use AWS Cost Explorer forecasts to determine resource owners. Create usage,,,A,"=IF(H65=I65,1,0)",Design Cost-Optimized Architectures
Q65,A global ecommerce company uses a monolithic architecture. The company needs a solution to manage the increasing volume of product data. The solution must be scalable and have a modular service architecture. The company needs to maintain its structured database schemas. The company also needs a storage solution to store product data and product images. Which solution will meet these requirements with the LEAST operational overhead? containerized application. Use an Application Load Balancer to distribute web traffic. Use an Amazon RDS DB instance to store product data and product images. 604 Global IT Certification Hub Amazon DynamoDB to store product data and product images. Use Amazon Simple Notification Service (Amazon SNS) for event-driven communication between the Lambda functions. deployment to deploy a containerized application. Use an Amazon Aurora cluster to store the product data. Use AWS Step Functions to manage workflows. Store the product images in Amazon S3 Glacier Deep Archive. deploy a containerized application. Use Amazon RDS with a Multi-AZ deployment to store the product data. Store the product images in an Amazon S3 bucket.,Use an Amazon EC2 instance in an Auto Scaling group to deploy a,Use AWS Lambda functions to manage the existing monolithic application. Use,Use Amazon Elastic Kubernetes Service (Amazon EKS) with an Amazon EC2,Use Amazon Elastic Container Service (Amazon ECS) with AWS Fargate to,,,D,"=IF(H66=I66,1,0)",Design Resilient Architectures

SUMMARY,,,,,,,,Total Score:,=SUM(J2:J66),
,,,,,,,,Percentage:,=J68/65*100,
