Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q37,A company is migrating a data center from its on-premises location to AWS. The company has several legacy applications that are hosted on individual virtual servers. Changes to the application designs cannot be made. Each individual virtual server currently runs as its own EC2 instance. A solutions architect needs to ensure that the applications are reliable and fault tolerant after migration to AWS. The applications will run on Amazon EC2 instances. Which solution will meet these requirements? one. Create an Amazon Machine Image (AMI) of each application instance. Use the AMI to create EC2 instances in the Auto Scaling group Configure an Application Load Balancer in front of the Auto Scaling group. each application. Store the backup in Amazon S3 in a separate Availability Zone. Configure a disaster recovery process to restore the EC2 instance for each application from its most recent backup. two new EC2 instances from the AMI. Place each EC2 instance in a separate Availability Zone. Configure a Network Load Balancer that has the EC2 instances as targets. EC2 instance. Break down functionality from each application into individual 557 Global IT Certification Hub components. Host each application on Amazon Elastic Container Service (Amazon ECS) with an AWS Fargate launch type.,Create an Auto Scaling group that has a minimum of one and a maximum of,Use AWS Backup to create an hourly backup of the EC2 instance that hosts,Create an Amazon Machine Image (AMI) of each application instance. Launch,Use AWS Mitigation Hub Refactor Spaces to migrate each application off the,,,A,"=IF(H38=I38,1,0)",Design Resilient Architectures
Q38,"A media company is evaluating the possibility of moving its systems to the AWS Cloud. The company needs at least 10 TB of storage with the maximum possible I/O performance for video processing, 300 TB of very durable storage for storing media content, and 900 TB of storage to meet requirements for archival media that is not in use anymore. Which set of services should a solutions architect recommend to meet these requirements? and Amazon S3 Glacier for archival storage storage, and Amazon S3 Glacier for archival storage 78 Global IT Certification Hub durable data storage, and Amazon S3 for archival storage data storage, and Amazon S3 Glacier for archival storage","Amazon EBS for maximum performance, Amazon S3 for durable data storage,","Amazon EBS for maximum performance, Amazon EFS for durable data","Amazon EC2 instance store for maximum performance, Amazon EFS for","Amazon EC2 instance store for maximum performance, Amazon S3 for durable",,,D,"=IF(H39=I39,1,0)",Design High-Performing Architectures
Q39,A company has customers located across the world. The company wants to use automation to secure its systems and network infrastructure. The company's security team must be able to track and audit all incremental changes to the infrastructure. Which solution will meet these requirements? changes. changes. to track changes. Catalog to track changes.,Use AWS Organizations to set up the infrastructure. Use AWS Config to track,Use AWS CloudFormation to set up the infrastructure. Use AWS Config to track,Use AWS Organizations to set up the infrastructure. Use AWS Service Catalog,Use AWS CloudFormation to set up the infrastructure. Use AWS Service,,,B,"=IF(H40=I40,1,0)",Design Secure Architectures
Q40,"A company is developing a new application on AWS. The application consists of an Amazon Elastic Container Service (Amazon ECS) cluster, an Amazon S3 bucket that contains assets for the application, and an Amazon RDS for MySQL database that contains the dataset for the application. The dataset contains sensitive information. The company wants to ensure that only the ECS cluster can access the data in the RDS for MySQL database and the data in the S3 bucket. Which solution will meet these requirements? key to encrypt both the S3 bucket and the RDS for MySQL database. Ensure that the KMS key policy includes encrypt and decrypt permissions for the ECS task execution role. encrypt both the S3 bucket and the RDS for MySQL database. Ensure that the S3 bucket policy specifies the ECS task execution role as a user. 412 Global IT Certification Hub execution role. Create a VPC endpoint for Amazon RDS for MySQL. Update the RDS for MySQL security group to allow access from only the subnets that the ECS cluster will generate tasks in. MySQL security group to allow access from only the subnets that the ECS cluster will generate tasks in. Create a VPC endpoint for Amazon S3. Update the S3 bucket policy to allow access from only the S3 VPC endpoint.",Create a new AWS Key Management Service (AWS KMS) customer managed,Create an AWS Key Management Service (AWS KMS) AWS managed key to,Create an S3 bucket policy that restricts bucket access to the ECS task,Create a VPC endpoint for Amazon RDS for MySQL. Update the RDS for,,,A,"=IF(H41=I41,1,0)",Design Secure Architectures
Q41,"A company is migrating from a monolithic architecture for a web application that is hosted on Amazon EC2 to a serverless microservices architecture. The company wants to use AWS services that support an event-driven, loosely coupled architecture. The company wants to use the publish/subscribe (pub/sub) pattern. Which solution will meet these requirements MOST cost-effectively? function that publishes events to an Amazon Simple Queue Service (Amazon SQS) queue. Configure one or more subscribers to read events from the SQS 575 Global IT Certification Hub queue. function that publishes events to an Amazon Simple Notification Service (Amazon SNS) topic. Configure one or more subscribers to receive events from the SNS topic. Amazon Kinesis Data Streams with enhanced fan-out. Configure one or more subscribers to receive events from the data stream. function that publishes events to an Amazon Simple Notification Service (Amazon SNS) topic. Configure one or more subscribers to receive events from the topic.",Configure an Amazon API Gateway REST API to invoke an AWS Lambda,Configure an Amazon API Gateway REST API to invoke an AWS Lambda,Configure an Amazon API Gateway WebSocket API to write to a data stream in,Configure an Amazon API Gateway HTTP API to invoke an AWS Lambda,,,D,"=IF(H42=I42,1,0)",Design Cost-Optimized Architectures
Q42,"A company has a three-tier web application that processes orders from customers. The web tier consists of Amazon EC2 instances behind an Application Load Balancer. The processing tier consists of EC2 instances. The company decoupled the web tier and processing tier by using Amazon Simple Queue Service (Amazon SQS). The storage layer uses Amazon DynamoDB. At peak times, some users report order processing delays and halls. The company has noticed that during these delays, the EC2 instances are running at 100% CPU usage, and the SQS queue fills up. The peak times are variable and unpredictable. The company needs to improve the performance of the application. Which solution will meet these requirements? processing tier instances for the duration of peak usage times. Use the CPU Utilization metric to determine when to scale. target utilization as a metric to determine when to scale. Use HTTP latency as a metric to determine when to scale. 637 Global IT Certification Hub processing tier instances. Use the ApproximateNumberOfMessages attribute to determine when to scale.",Use scheduled scaling for Amazon EC2 Auto Scaling to scale out the,Use Amazon ElastiCache for Redis in front of the DynamoDB backend tier. Use,Add an Amazon CloudFront distribution to cache the responses for the web tier.,Use an Amazon EC2 Auto Scaling target tracking policy to scale out the,,,D,"=IF(H43=I43,1,0)",Design High-Performing Architectures
Q43,"A company has thousands of edge devices that collectively generate 1 TB of status alerts each day. Each alert is approximately 2 KB in size. A solutions architect needs to implement a solution to ingest and store the alerts for future analysis. The company wants a highly available solution. However, the company needs to minimize costs and does not want to manage additional infrastructure. Additionally, the company wants to keep 14 days of data available for immediate analysis and archive any data older than 14 days. What is the MOST operationally efficient solution that meets these requirements? Configure the Kinesis Data Firehose stream to deliver the alerts to an Amazon S3 bucket. Set up an S3 Lifecycle configuration to transition data to Amazon S3 Glacier after 14 days. 25 Global IT Certification Hub behind an Elastic Load Balancer to ingest the alerts. Create a script on the EC2 instances that will store the alerts in an Amazon S3 bucket. Set up an S3 Lifecycle configuration to transition data to Amazon S3 Glacier after 14 days. Configure the Kinesis Data Firehose stream to deliver the alerts to an Amazon OpenSearch Service (Amazon Elasticsearch Service) cluster. Set up the Amazon OpenSearch Service (Amazon Elasticsearch Service) cluster to take manual snapshots every day and delete data from the cluster that is older than 14 days. ingest the alerts, and set the message retention period to 14 days. Configure consumers to poll the SQS queue, check the age of the message, and analyze the message data as needed. If the message is 14 days old, the consumer should copy the message to an Amazon S3 bucket and delete the message from the SQS queue.",Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts.,Launch Amazon EC2 instances across two Availability Zones and place them,Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts.,Create an Amazon Simple Queue Service (Amazon SQS) standard queue to,,,A,"=IF(H44=I44,1,0)",Design Cost-Optimized Architectures
Q44,A solutions architect is designing an asynchronous application to process credit card data validation requests for a bank. The application must be secure and be able to process each request at least once. Which solution will meet these requirements MOST cost-effectively? (Amazon SQS) standard queues as the event source. Use AWS Key Management Service (SSE-KMS) for encryption. Add the kms:Decrypt permission for the Lambda execution role. (Amazon SQS) FIFO queues as the event source. Use SQS managed encryption keys (SSE-SQS) for encryption. Add the encryption key invocation permission for the Lambda function. Service (Amazon SQS) FIFO queues as the event source. Use AWS KMS keys (SSE-KMS). Add the kms:Decrypt permission for the Lambda execution role. 308 Global IT Certification Hub Service (Amazon SQS) standard queues as the event source. Use AWS KMS keys (SSE-KMS) for encryption. Add the encryption key invocation permission for the Lambda function.,Use AWS Lambda event source mapping. Set Amazon Simple Queue Service,Use AWS Lambda event source mapping. Use Amazon Simple Queue Service,Use the AWS Lambda event source mapping. Set Amazon Simple Queue,Use the AWS Lambda event source mapping. Set Amazon Simple Queue,,,A,"=IF(H45=I45,1,0)",Design Secure Architectures
Q45,A company needs guaranteed Amazon EC2 capacity in three specific Availability Zones in a specific AWS Region for an upcoming event that will last 1 week. What should the company do to guarantee the EC2 capacity? Zones needed. three Availability Zones needed.,Purchase Reserved Instances that specify the Region needed.,Create an On-Demand Capacity Reservation that specifies the Region needed.,Purchase Reserved Instances that specify the Region and three Availability,Create an On-Demand Capacity Reservation that specifies the Region and,,,D,"=IF(H46=I46,1,0)",Design Resilient Architectures
Q46,A company is running a highly sensitive application on Amazon EC2 backed by an Amazon RDS database. Compliance regulations mandate that all personally identifiable information (PII) be encrypted at rest. Which solution should a solutions architect recommend to meet this requirement with the LEAST amount of changes to the infrastructure? encrypt the database volume. database volumes. keys to encrypt database volumes. RDS encryption with AWS Key Management Service (AWS KMS) keys to encrypt instance and database volumes. 523 Global IT Certification Hub,Deploy AWS Certificate Manager to generate certificates. Use the certificates to,"Deploy AWS CloudHSM, generate encryption keys, and use the keys to encrypt",Configure SSL encryption using AWS Key Management Service (AWS KMS),Configure Amazon Elastic Block Store (Amazon EBS) encryption and Amazon,,,D,"=IF(H47=I47,1,0)",Design Secure Architectures
Q47,"A company needs to store contract documents. A contract lasts for 5 years. During the 5-year period, the company must ensure that the documents cannot be overwritten or deleted. The company needs to encrypt the documents at rest and rotate the encryption keys automatically every year. Which combination of steps should a solutions architect take to meet these requirements with the LEAST operational overhead? (Choose two.) (SSE-S3). Configure key rotation. customer managed keys. Configure key rotation. customer provided (imported) keys. Configure key rotation. 115 Global IT Certification Hub",Store the documents in Amazon S3. Use S3 Object Lock in governance mode.,Store the documents in Amazon S3. Use S3 Object Lock in compliance mode.,Use server-side encryption with Amazon S3 managed encryption keys,Use server-side encryption with AWS Key Management Service (AWS KMS),Use server-side encryption with AWS Key Management Service (AWS KMS),,BD,"=IF(H48=I48,1,0)",Design Secure Architectures
Q48,A company is running a critical business application on Amazon EC2 instances behind an Application Load Balancer. The EC2 instances run in an Auto Scaling group and access an Amazon RDS DB instance. The design did not pass an operational review because the EC2 instances and the DB instance are all located in a single Availability Zone. A solutions architect must 184 Global IT Certification Hub update the design to use a second Availability Zone. Which solution will make the application highly available? to distribute the EC2 instances across both Availability Zones. Configure the DB instance with connections to each network. Auto Scaling group to distribute the EC2 instances across both Availability Zones. Configure the DB instance with connections to each network. to distribute the EC2 instances across both Availability Zones. Configure the DB instance for Multi-AZ deployment. Auto Scaling group to distribute the EC2 instances across both Availability Zones. Configure the DB instance for Multi-AZ deployment.,Provision a subnet in each Availability Zone. Configure the Auto Scaling group,Provision two subnets that extend across both Availability Zones. Configure the,Provision a subnet in each Availability Zone. Configure the Auto Scaling group,Provision a subnet that extends across both Availability Zones. Configure the,,,C,"=IF(H49=I49,1,0)",Design Resilient Architectures
Q49,A company runs a production application on a fleet of Amazon EC2 instances. The application reads the data from an Amazon SQS queue and processes the messages in parallel. The message volume is unpredictable and often has intermittent traffic. This application should continually process messages without 102 Global IT Certification Hub any downtime. Which solution meets these requirements MOST cost-effectively? handle additional capacity. Instances to handle additional capacity.,Use Spot Instances exclusively to handle the maximum capacity required.,Use Reserved Instances exclusively to handle the maximum capacity required.,Use Reserved Instances for the baseline capacity and use Spot Instances to,Use Reserved Instances for the baseline capacity and use On-Demand,,,D,"=IF(H50=I50,1,0)",Design Cost-Optimized Architectures
Q50,"A financial services company wants to shut down two data centers and migrate more than 100 TB of data to AWS. The data has an intricate directory structure with millions of small files stored in deep hierarchies of subfolders. Most of the data is unstructured, and the company's file storage consists of SMB-based storage types from multiple vendors. The company does not want to change its applications to access the data after migration. 464 Global IT Certification Hub What should a solutions architect do to meet these requirements with the LEAST operational overhead? ank Server. AWS Storage Gateway volume gateway.",Use AWS Direct Connect to migrate the data to Amazon S3.,Use AWS DataSync to migrate the data to Amazon FSx for Lustre.,Use AWS DataSync to migrate the data to Amazon FSx for Windows File,Use AWS Direct Connect to migrate the data on-premises file storage to an,,,C,"=IF(H51=I51,1,0)",General
Q51,A solutions architect is designing a two-tier web application. The application consists of a public-facing web tier hosted on Amazon EC2 in public subnets. The database tier consists of Microsoft SQL Server running on Amazon EC2 in a private subnet. Security is a high priority for the company. How should security groups be configured in this situation? (Choose two.) from 0.0.0.0/0. 443 from 0.0.0.0/0. 1433 from the security group for the web tier. ports 443 and 1433 to the security group for the web tier. ports 443 and 1433 from the security group for the web tier. 46 Global IT Certification Hub,Configure the security group for the web tier to allow inbound traffic on port 443,Configure the security group for the web tier to allow outbound traffic on port,Configure the security group for the database tier to allow inbound traffic on port,Configure the security group for the database tier to allow outbound traffic on,Configure the security group for the database tier to allow inbound traffic on,,AC,"=IF(H52=I52,1,0)",Design Secure Architectures
Q52,A company runs its application on Oracle Database Enterprise Edition. The company needs to migrate the application and the database to AWS. The company can use the Bring Your Own License (BYOL) model while migrating to AWS. The application uses third-party database features that require privileged access. A solutions architect must design a solution for the database migration. Which solution will meet these requirements MOST cost-effectively? 529 Global IT Certification Hub the third-party features with AWS Lambda. Customize the new database settings to support the third-party features. Service (AWS DMS). Customize the new database settings to support the third-party features. Migration Service (AWS DMS). Rewrite the application code to remove the dependency on third-party features.,Migrate the database to Amazon RDS for Oracle by using native tools. Replace,Migrate the database to Amazon RDS Custom for Oracle by using native tools.,Migrate the database to Amazon DynamoDB by using AWS Database Migration,Migrate the database to Amazon RDS for PostgreSQL by using AWS Database,,,B,"=IF(H53=I53,1,0)",Design Cost-Optimized Architectures
Q53,"A company is using Amazon Route 53 latency-based routing to route requests to its UDP-based application for users around the world. The application is hosted on redundant servers in the company's on-premises data centers in the United States, Asia, and Europe. The company's compliance requirements state that the application must be hosted on premises. The company wants to improve the performance and availability of the application. What should a solutions architect do to meet these requirements? address the on-premises endpoints. Create an accelerator by using AWS Global Accelerator, and register the NLBs as its endpoints. Provide access to the application by using a CNAME that points to the accelerator DNS. 228 Global IT Certification Hub to address the on-premises endpoints. Create an accelerator by using AWS Global Accelerator, and register the ALBs as its endpoints. Provide access to the application by using a CNAME that points to the accelerator DNS. address the on-premises endpoints. In Route 53, create a latency-based record that points to the three NLBs, and use it as an origin for an Amazon CloudFront distribution. Provide access to the application by using a CNAME that points to the CloudFront DNS. to address the on-premises endpoints. In Route 53, create a latency-based record that points to the three ALBs, and use it as an origin for an Amazon CloudFront distribution. Provide access to the application by using a CNAME that points to the CloudFront DNS.",Configure three Network Load Balancers (NLBs) in the three AWS Regions to,Configure three Application Load Balancers (ALBs) in the three AWS Regions,Configure three Network Load Balancers (NLBs) in the three AWS Regions to,Configure three Application Load Balancers (ALBs) in the three AWS Regions,,,A,"=IF(H54=I54,1,0)",Design Resilient Architectures
Q54,A company is expanding a secure on-premises network to the AWS Cloud by using an AWS Direct Connect connection. The on-premises network has no direct internet access. An application that runs on the on-premises network needs to use an Amazon S3 bucket. Which solution will meet these requirements MOST cost-effectively? network to the NAT gateway. 521 Global IT Certification Hub from the on-premises network to the S3 interface endpoint. Connect. Route the AWS traffic over the peering connection.,Create a public virtual interface (VIF). Route the AWS traffic over the public VIF.,Create a VPC and a NAT gateway. Route the AWS traffic from the on-premises,Create a VPC and an Amazon S3 interface endpoint. Route the AWS traffic,Create a VPC peering connection between the on-premises network and Direct,,,C,"=IF(H55=I55,1,0)",Design Cost-Optimized Architectures
Q55,A company is storing petabytes of data in Amazon S3 Standard. The data is stored in multiple S3 buckets and is accessed with varying frequency. The company does not know access patterns for all the data. The company needs to implement a solution for each S3 bucket to optimize the cost of S3 usage. Which solution will meet these requirements with the MOST operational efficiency? S3 bucket to S3 Intelligent-Tiering. object in the S3 bucket. Move each object to the identified storage tier. S3 bucket to S3 Glacier Instant Retrieval. S3 bucket to S3 One Zone-Infrequent Access (S3 One Zone-IA).,Create an S3 Lifecycle configuration with a rule to transition the objects in the,Use the S3 storage class analysis tool to determine the correct tier for each,Create an S3 Lifecycle configuration with a rule to transition the objects in the,Create an S3 Lifecycle configuration with a rule to transition the objects in the,,,A,"=IF(H56=I56,1,0)",Design Cost-Optimized Architectures
Q56,"A payment processing company records all voice communication with its customers and stores the audio files in an Amazon S3 bucket. The company needs to capture the text from the audio files. The company must remove from the text any personally identifiable information (PII) that belongs to customers. What should a solutions architect do to meet these requirements? Lambda function to scan for known PII patterns. function to start an Amazon Textract task to analyze the call recordings. When an audio file is uploaded to the S3 bucket, invoke an AWS Lambda function to start the transcription job. Store the output in a separate S3 bucket. transcription turned on. Embed an AWS Lambda function to scan for known PII patterns. Use Amazon EventBridge to start the contact flow when an audio file is uploaded to the S3 bucket.",Process the audio files by using Amazon Kinesis Video Streams. Use an AWS,"When an audio file is uploaded to the S3 bucket, invoke an AWS Lambda",Configure an Amazon Transcribe transcription job with PII redaction turned on.,Create an Amazon Connect contact flow that ingests the audio files with,,,C,"=IF(H57=I57,1,0)",General
Q57,"A company serves a dynamic website from a fleet of Amazon EC2 instances behind an Application Load Balancer (ALB). The website needs to support multiple languages to serve customers around the world. The website's architecture is running in the us-west-1 Region and is exhibiting high request latency for users that are located in other parts of the world. The website needs to serve requests quickly and efficiently regardless of a user's location. However, the company does not want to recreate the existing architecture across multiple Regions. What should a solutions architect do to meet these requirements? 168 Global IT Certification Hub S3 bucket. Configure an Amazon CloudFront distribution with the S3 bucket as the origin. Set the cache behavior settings to cache based on the Accept-Language request header. cache behavior settings to cache based on the Accept-Language request header. the API to use the HTTP integration type. Set up an API Gateway stage to enable the API cache based on the Accept-Language request header. as a cache server for that Region. Put all the EC2 instances and the ALB behind an Amazon Route 53 record set with a geolocation routing policy.",Replace the existing architecture with a website that is served from an Amazon,Configure an Amazon CloudFront distribution with the ALB as the origin. Set the,Create an Amazon API Gateway API that is integrated with the ALB. Configure,Launch an EC2 instance in each additional Region and configure NGINX to act,,,B,"=IF(H58=I58,1,0)",Design High-Performing Architectures
Q58,A company is designing a new web application that will run on Amazon EC2 Instances. The application will use Amazon DynamoDB for backend data storage. The application traffic will be unpredictable. The company expects that the application read and write throughput to the database will be moderate to high. The company needs to scale in response to application traffic. Which DynamoDB table configuration will meet these requirements MOST cost-effectively? Standard table class. Set DynamoDB auto scaling to a maximum defined capacity. table class. Standard Infrequent Access (DynamoDB Standard-IA) table class. Set DynamoDB auto scaling to a maximum defined capacity. Infrequent Access (DynamoDB Standard-IA) table class.,Configure DynamoDB with provisioned read and write by using the DynamoDB,Configure DynamoDB in on-demand mode by using the DynamoDB Standard,Configure DynamoDB with provisioned read and write by using the DynamoDB,Configure DynamoDB in on-demand mode by using the DynamoDB Standard,,,B,"=IF(H59=I59,1,0)",Design Cost-Optimized Architectures
Q59,A solutions architect is designing a new hybrid architecture to extend a company's on-premises infrastructure to AWS. The company requires a highly available connection with consistent low latency to an AWS Region. The company needs to minimize costs and is willing to accept slower traffic if the primary connection fails. What should the solutions architect do to meet these requirements? 42 Global IT Certification Hub connection as a backup if the primary Direct Connect connection fails. Provision a second VPN tunnel for private connectivity and as a backup if the primary VPN connection fails. Direct Connect connection to the same Region as a backup if the primary Direct Connect connection fails. Connect failover attribute from the AWS CLI to automatically create a backup connection if the primary Direct Connect connection fails.,Provision an AWS Direct Connect connection to a Region. Provision a VPN,Provision a VPN tunnel connection to a Region for private connectivity.,Provision an AWS Direct Connect connection to a Region. Provision a second,Provision an AWS Direct Connect connection to a Region. Use the Direct,,,A,"=IF(H60=I60,1,0)",Design Resilient Architectures
Q60,"A company is running a media store across multiple Amazon EC2 instances distributed across multiple Availability Zones in a single VPC. The company wants a high-performing solution to share data between all the EC2 instances, and prefers to keep the data within the VPC only. What should a solutions architect recommend? application mounted volume across all instances 587 Global IT Certification Hub it across all instances",Create an Amazon S3 bucket and call the service APIs from each instance's,Create an Amazon S3 bucket and configure all instances to access it as a,Configure an Amazon Elastic Block Store (Amazon EBS) volume and mount it,Configure an Amazon Elastic File System (Amazon EFS) file system and mount,,,D,"=IF(H61=I61,1,0)",Design Secure Architectures
Q61,A company is hosting a three-tier ecommerce application in the AWS Cloud. The company hosts the website on Amazon S3 and integrates the website with an API that handles sales requests. The company hosts the API on three Amazon EC2 instances behind an Application Load Balancer (ALB). The API consists of static and dynamic front-end content along with backend workers that process sales requests asynchronously. The company is expecting a significant and sudden increase in the number of sales requests during events for the launch of new products. What should a solutions architect recommend to ensure that all the requests are processed successfully? number of EC2 instances to handle the increase in traffic. instances in an Auto Scaling group to launch new instances based on network traffic. Amazon ElastiCache instance in front of the ALB to reduce traffic for the API to handle. Simple Queue Service (Amazon SQS) queue to receive requests from the website for later processing by the EC2 instances.,Add an Amazon CloudFront distribution for the dynamic content. Increase the,Add an Amazon CloudFront distribution for the static content. Place the EC2,Add an Amazon CloudFront distribution for the dynamic content. Add an,Add an Amazon CloudFront distribution for the static content. Add an Amazon,,,D,"=IF(H62=I62,1,0)",Design High-Performing Architectures
Q62,A company has an application that is running on Amazon EC2 instances. A solutions architect has standardized the company on a particular instance family and various instance sizes based on the current needs of the company. The company wants to maximize cost savings for the application over the next 3 years. The company needs to be able to change the instance family and sizes in the next 6 months based on application popularity and usage. Which solution will meet these requirements MOST cost-effectively? 216 Global IT Certification Hub,Compute Savings Plan,EC2 Instance Savings Plan,Zonal Reserved Instances,Standard Reserved Instances,,,A,"=IF(H63=I63,1,0)",Design Cost-Optimized Architectures
Q63,A company is hosting a static website on Amazon S3 and is using Amazon Route 53 for DNS. The website is experiencing increased demand from around the world. The company must decrease latency for users who access the website. Which solution meets these requirements MOST cost-effectively? Route 53 geolocation routing entries. addresses with the S3 bucket. Edit the Route 53 entries to point to the IP addresses of the accelerators. 53 entries to point to the CloudFront distribution. point to the new endpoint. 24 Global IT Certification Hub,Replicate the S3 bucket that contains the website to all AWS Regions. Add,Provision accelerators in AWS Global Accelerator. Associate the supplied IP,Add an Amazon CloudFront distribution in front of the S3 bucket. Edit the Route,Enable S3 Transfer Acceleration on the bucket. Edit the Route 53 entries to,,,C,"=IF(H64=I64,1,0)",Design High-Performing Architectures
Q64,"A company recently performed a lift and shift migration of its on-premises Oracle database workload to run on an Amazon EC2 memory optimized Linux instance. The EC2 Linux instance uses a 1 TB Provisioned IOPS SSD (io1) EBS volume with 64,000 IOPS. The database storage performance after the migration is slower than the performance of the on-premises database. Which solution will improve storage performance? create a Logical Volume Management (LVM) stripe. IOPS. change the Provisioned IOPS SSD (io1) EBS volume.",Add more Provisioned IOPS SSD (io1) EBS volumes. Use OS commands to,"Increase the Provisioned IOPS SSD (io1) EBS volume to more than 64,000",Increase the size of the Provisioned IOPS SSD (io1) EBS volume to 2 TB.,Change the EC2 Linux instance to a storage optimized instance type. Do not,,,A,"=IF(H65=I65,1,0)",Design High-Performing Architectures
Q65,"A company runs its infrastructure on AWS and has a registered base of 700,000 users for its document management application. The company intends to create a product that converts large .pdf files to .jpg image files. The .pdf files average 5 MB in size. The company needs to store the original files and the converted files. A solutions architect must design a scalable solution to accommodate demand that will grow rapidly over time. Which solution meets these requirements MOST cost-effectively? AWS Lambda function to convert the files to .jpg format and store them back in Amazon S3. 39 Global IT Certification Hub invoke an AWS Lambda function to convert the files to .jpg format and store them back in DynamoDB. Amazon EC2 instances, Amazon Elastic Block Store (Amazon EBS) storage, and an Auto Scaling group. Use a program in the EC2 instances to convert the files to .jpg format. Save the .pdf files and the .jpg files in the EBS store. Amazon EC2 instances, Amazon Elastic File System (Amazon EFS) storage, and an Auto Scaling group. Use a program in the EC2 instances to convert the file to .jpg format. Save the .pdf files and the .jpg files in the EBS store.",Save the .pdf files to Amazon S3. Configure an S3 PUT event to invoke an,Save the .pdf files to Amazon DynamoDUse the DynamoDB Streams feature to,Upload the .pdf files to an AWS Elastic Beanstalk application that includes,Upload the .pdf files to an AWS Elastic Beanstalk application that includes,,,A,"=IF(H66=I66,1,0)",Design Cost-Optimized Architectures

SUMMARY,,,,,,,,Total Score:,=SUM(J2:J66),
,,,,,,,,Percentage:,=J68/65*100,
